Registration Group Number,Registration Group Name,Support Category Number,Support Category Name,Support Item Number,Support Item Name,Support Item Description,Unit,Price Controlled,Quote Required,"NT 
SA 
TAS 
WA
(MM 1-5)","ACT
NSW
QLD
VIC
(MM 1-5)","National
Non-Remote
(MM 1-5)","National Remote

(MM 6)","National Very Remote
(MM 7)",Travel,Cancellations,NDIA Reporting,Non-F2F
120,Household Tasks,1,Assistance with daily life (includes Supported Independent Living),01_022_0120_1_1,Assistance With The Cost Of Preparation And Delivery Of Meals,"Preparation and delivery of meals to a participant who is unable to do this themselves, and is not in receipt of other supports that would meet the same need. Food costs are not included. Cost varies with the number of meals prepared and deliveries required.",EA,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_026_0115_1_1,Assistance In Living Arrangements (Host Family/Alternative Family Situation),Agreement for a participant with high support needs to stay with a host family. The host family will have minimum qualifications & provide support in the home for the agreed time. The quote will reflect the hours of assistance required & length of stay.,D,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_027_0115_1_1,Assistance In A Shared Living Arrangement,"Daily living support provided in a shared living arrangement. This rate is paid by the hour for one-to-one assistance, divided by the number of people supported.",EA,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_028_0115_1_1,Supported Independent Living - For 2 - Complex,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible.,WK,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_029_0115_1_1,Supported Independent Living - For 3 - Complex,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible.,WK,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_030_0115_1_1,Supported Independent Living - For 4 - Complex,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible.,WK,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_031_0115_1_1,Supported Independent Living - For 5 - Complex,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible.,WK,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_032_0115_1_1,Supported Independent Living - For 6 - Complex,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible.,WK,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_033_0115_1_1,Supported Independent Living - For 7 - Complex,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with complex support needs to live as autonomously as possible.,WK,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_034_0115_1_1,Supported Independent Living - For 2 - Standard,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible.,WK,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_035_0115_1_1,Supported Independent Living - For 3 - Standard,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible.,WK,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_036_0115_1_1,Supported Independent Living - For 4 - Standard,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible.,WK,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_037_0115_1_1,Supported Independent Living - For 5 - Standard,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible.,WK,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_038_0115_1_1,Supported Independent Living - For 6 - Standard,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible.,WK,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_039_0115_1_1,Supported Independent Living - For 7 - Standard,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with standard (or mixed) support needs to live as autonomously as possible.,WK,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_040_0115_1_1,Supported Independent Living - For 3 - Lower Need,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible.,WK,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_041_0115_1_1,Supported Independent Living - For 4 - Lower Need,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible.,WK,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_042_0115_1_1,Supported Independent Living - For 5 - Lower Need,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible.,WK,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_043_0115_1_1,Supported Independent Living - For 6 - Lower Need,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible.,WK,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_044_0115_1_1,Supported Independent Living - For 7 - Lower Need,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible.,WK,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_045_0115_1_1,Short Term Accommodation And Assistance - 1:4 - Weekday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,Y,N,,,$546.33,$764.86,$819.50,N,Y,N,Y
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_046_0115_1_1,Assistance In Individual Living Arrangement For Person With Complex Needs,,EA,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_047_0115_1_1,Supported Independent Living - For 2 - Lower Need,Assisting with and/or supervising tasks of daily life to develop the skills of the individuals with lower support needs to live as autonomously as possible.,WK,N,Y,,,,,,N,N,N,N
107,Daily Personal Activities (Assist Personal Activities),1,Assistance with daily life (includes Supported Independent Living),01_049_0107_1_1,Establishment Fee For Personal Care/Community Access,Establishment Fee for Personal Care/Community Access (20 hours per month).,EA,Y,N,,,$861.13,"$1,205.58","$1,291.70",N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_051_0115_1_1,Short Term Accommodation And Assistance - 1:4 - Saturday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,Y,N,,,$644.56,$902.38,$966.84,N,Y,N,Y
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_052_0115_1_1,Short Term Accommodation And Assistance - 1:4 - Sunday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,Y,N,,,$765.78,"$1,072.09","$1,148.67",N,Y,N,Y
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_053_0115_1_1,Short Term Accommodation And Assistance - 1:4 - Public Holiday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,Y,N,,,$885.95,"$1,240.33","$1,328.93",N,Y,N,Y
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_054_0115_1_1,Short Term Accommodation And Assistance - 1:2 - Weekday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,Y,N,,,$879.68,"$1,231.55","$1,319.52",N,Y,N,Y
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_055_0115_1_1,Short Term Accommodation And Assistance - 1:2 - Saturday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,Y,N,,,"$1,076.14","$1,506.60","$1,614.21",N,Y,N,Y
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_056_0115_1_1,Short Term Accommodation And Assistance - 1:2 - Sunday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,Y,N,,,"$1,317.54","$1,844.56","$1,976.31",N,Y,N,Y
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_057_0115_1_1,Short Term Accommodation And Assistance - 1:2 - Public Holiday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,Y,N,,,"$1,558.93","$2,182.50","$2,338.40",N,Y,N,Y
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_058_0115_1_1,Short Term Accommodation And Assistance - 1:1 - Weekday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,Y,N,,,"$1,546.39","$2,164.95","$2,319.59",N,Y,N,Y
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_059_0115_1_1,Short Term Accommodation And Assistance - 1:1 - Saturday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,Y,N,,,"$1,939.31","$2,715.03","$2,908.97",N,Y,N,Y
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_060_0115_1_1,Short Term Accommodation And Assistance - 1:1 - Sunday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,Y,N,,,"$2,422.10","$3,390.94","$3,633.15",N,Y,N,Y
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_061_0115_1_1,Short Term Accommodation And Assistance - 1:1 - Public Holiday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,Y,N,,,"$2,904.89","$4,066.85","$4,357.34",N,Y,N,Y
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_062_0115_1_1,Short Term Accommodation And Assistance - 1:3 - Weekday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,Y,N,,,$657.10,$919.94,$985.65,N,Y,N,Y
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_063_0115_1_1,Short Term Accommodation And Assistance - 1:3 - Saturday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,Y,N,,,$788.77,"$1,104.28","$1,183.16",N,Y,N,Y
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_064_0115_1_1,Short Term Accommodation And Assistance - 1:3 - Sunday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,Y,N,,,$949.70,"$1,329.58","$1,424.55",N,Y,N,Y
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_065_0115_1_1,Short Term Accommodation And Assistance - 1:3 - Public Holiday,"Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.",D,Y,N,,,"$1,110.63","$1,554.88","$1,665.95",N,Y,N,Y
117,Development Of Daily Living And Life Skills,1,Assistance with daily life (includes Supported Independent Living),01_134_0117_8_1,Self-Management Capacity Building,Self-Management Capacity Building,H,Y,N,,,$63.23,$88.52,$94.85,Y,Y,N,Y
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_200_0115_1_1,Assistance With Self-Care Activities in a STA - Standard - Weekday Daytime,"Additional support provided at the same time as a Short Term Accommodation (STA) support, where the participant requires 1:1 assistance with self-care activities in addition to the STA support. For example, where the STA support is at the 1:1 rate and the participant requires more than one support worker for a period of time, or where the STA is not at the 1:1 rate and the participant requires 1:1 support for a period of time.",H,Y,N,,,$52.85,$73.99,$79.28,N,Y,N,Y
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_201_0115_1_1,Assistance With Self-Care Activities in a STA - Standard - Evening,"Additional support provided at the same time as a Short Term Accommodation (STA) support, where the participant requires 1:1 assistance with self-care activities in addition to the STA support. For example, where the STA support is at the 1:1 rate and the participant requires more than one support worker for a period of time, or where the STA is not at the 1:1 rate and the participant requires 1:1 support for a period of time.",H,Y,N,,,$58.31,$81.63,$87.47,N,Y,N,Y
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_202_0115_1_1,Assistance With Self-Care Activities in a STA - Standard - Saturday,"Additional support provided at the same time as a Short Term Accommodation (STA) support, where the participant requires 1:1 assistance with self-care activities in addition to the STA support. For example, where the STA support is at the 1:1 rate and the participant requires more than one support worker for a period of time, or where the STA is not at the 1:1 rate and the participant requires 1:1 support for a period of time.",H,Y,N,,,$72.69,$101.77,$109.04,N,Y,N,Y
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_203_0115_1_1,Assistance With Self-Care Activities in a STA - Standard - Sunday,"Additional support provided at the same time as a Short Term Accommodation (STA) support, where the participant requires 1:1 assistance with self-care activities in addition to the STA support. For example, where the STA support is at the 1:1 rate and the participant requires more than one support worker for a period of time, or where the STA is not at the 1:1 rate and the participant requires 1:1 support for a period of time.",H,Y,N,,,$94.52,$132.33,$141.78,N,Y,N,Y
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_204_0115_1_1,Assistance With Self-Care Activities in a STA - Standard - Public Holiday,"Additional support provided at the same time as a Short Term Accommodation (STA) support, where the participant requires 1:1 assistance with self-care activities in addition to the STA support. For example, where the STA support is at the 1:1 rate and the participant requires more than one support worker for a period of time, or where the STA is not at the 1:1 rate and the participant requires 1:1 support for a period of time.",H,Y,N,,,$118.34,$165.68,$177.51,N,Y,N,Y
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_205_0115_1_1,Assistance With Self-Care Activities in a STA - Standard - Active Overnight,"Additional support provided at the same time as a Short Term Accommodation (STA) support, where the participant requires 1:1 assistance with self-care activities in addition to the STA support. For example, where the STA support is at the 1:1 rate and the participant requires more than one support worker for a period of time, or where the STA is not at the 1:1 rate and the participant requires 1:1 support for a period of time.",H,Y,N,,,$59.40,$83.16,$89.10,N,Y,N,Y
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_280_0115_1_1,Individual Living Option - Co-residency,Assist the participant to maintain an Individual Living Option co-residency transitional arrangement.  ,EA,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_281_0115_1_1,Individual Living Option - Host Arrangement,Specialist assistance to maintain an Individual Living Option Host family transitional arrangement.,D,N,Y,,,,,,N,N,N,N
115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with daily life (includes Supported Independent Living),01_282_0115_1_1,Individual Living Option - Rostered Supports,"Assist the participant though a particular range of flexible supports to maintain their existing Individual Living Option transitional arrangement, being either Living Alone or Living Together specifically.",EA,N,Y,,,,,,N,N,N,N
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),1,Assistance with daily life (includes Supported Independent Living),01_300_0104_1_1,Assistance With Self-Care Activities - Level 1 - Weekday Daytime,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",H,Y,N,,,$52.85,$73.99,$79.28,Y,Y,N,Y
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),1,Assistance with daily life (includes Supported Independent Living),01_300_0104_1_1_T,Assistance With Self-Care Activities - Level 1 - Weekday Daytime - TTP,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible. Support delivered by a TTP provider.",H,Y,N,,,$56.81,$79.53,$85.22,Y,Y,N,Y
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),1,Assistance with daily life (includes Supported Independent Living),01_301_0104_1_1,Assistance With Self-Care Activities - Level 1 - Evening,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",H,Y,N,,,$58.31,$81.63,$87.47,Y,Y,N,Y
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),1,Assistance with daily life (includes Supported Independent Living),01_301_0104_1_1_T,Assistance With Self-Care Activities - Level 1 - Evening - TTP,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible. Support delivered by a TTP provider.",H,Y,N,,,$62.69,$87.77,$94.04,Y,Y,N,Y
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),1,Assistance with daily life (includes Supported Independent Living),01_302_0104_1_1,Assistance With Self-Care Activities - Level 1 - Saturday,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",H,Y,N,,,$72.69,$101.77,$109.04,Y,Y,N,Y
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),1,Assistance with daily life (includes Supported Independent Living),01_302_0104_1_1_T,Assistance With Self-Care Activities - Level 1 - Saturday - TTP,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible. Support delivered by a TTP provider.",H,Y,N,,,$78.14,$109.40,$117.21,Y,Y,N,Y
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),1,Assistance with daily life (includes Supported Independent Living),01_303_0104_1_1,Assistance With Self-Care Activities - Level 1 - Sunday,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",H,Y,N,,,$94.52,$132.33,$141.78,Y,Y,N,Y
